SYMBOL,DATE,COMPANY,EXCHANGE,CLOSE
GCBC,2013-04-23,Greene County Bancorp Inc,NASDAQ,9.88
GCBC,2013-04-24,Greene County Bancorp Inc,NASDAQ,9.98
GCBC,2013-04-25,Greene County Bancorp Inc,NASDAQ,10
GCBC,2013-04-29,Greene County Bancorp Inc,NASDAQ,10.06
GCBC,2013-04-30,Greene County Bancorp Inc,NASDAQ,10.12
GCBC,2013-05-02,Greene County Bancorp Inc,NASDAQ,10.02
GCBC,2013-05-03,Greene County Bancorp Inc,NASDAQ,10.53
GCBC,2013-05-06,Greene County Bancorp Inc,NASDAQ,10.09
GCBC,2013-05-07,Greene County Bancorp Inc,NASDAQ,9.88
GCBC,2013-05-08,Greene County Bancorp Inc,NASDAQ,9.88
GCBC,2013-05-13,Greene County Bancorp Inc,NASDAQ,10.1
GCBC,2013-05-14,Greene County Bancorp Inc,NASDAQ,10.2
GCBC,2013-05-15,Greene County Bancorp Inc,NASDAQ,10.1
GCBC,2013-05-16,Greene County Bancorp Inc,NASDAQ,10.2
GCBC,2013-05-17,Greene County Bancorp Inc,NASDAQ,10.2
GCBC,2013-05-20,Greene County Bancorp Inc,NASDAQ,10.1
GCBC,2013-05-21,Greene County Bancorp Inc,NASDAQ,10.1
GCBC,2013-05-23,Greene County Bancorp Inc,NASDAQ,9.99
GCBC,2013-05-29,Greene County Bancorp Inc,NASDAQ,9.93
GCBC,2013-05-31,Greene County Bancorp Inc,NASDAQ,10.58
GCBC,2013-06-03,Greene County Bancorp Inc,NASDAQ,10.71
GCBC,2013-06-04,Greene County Bancorp Inc,NASDAQ,10.1
GCBC,2013-06-05,Greene County Bancorp Inc,NASDAQ,9.85
GCBC,2013-06-06,Greene County Bancorp Inc,NASDAQ,10.25
GCBC,2013-06-07,Greene County Bancorp Inc,NASDAQ,10.6
GCBC,2013-06-10,Greene County Bancorp Inc,NASDAQ,10.45
GCBC,2013-06-18,Greene County Bancorp Inc,NASDAQ,10.37
GCBC,2013-06-27,Greene County Bancorp Inc,NASDAQ,10.52
GCBC,2013-06-28,Greene County Bancorp Inc,NASDAQ,10.75
GCBC,2013-07-01,Greene County Bancorp Inc,NASDAQ,10.54
GCBC,2013-07-05,Greene County Bancorp Inc,NASDAQ,10.74
GCBC,2013-07-08,Greene County Bancorp Inc,NASDAQ,10.75
GCBC,2013-07-09,Greene County Bancorp Inc,NASDAQ,10.73
GCBC,2013-07-10,Greene County Bancorp Inc,NASDAQ,10.75
GCBC,2013-07-11,Greene County Bancorp Inc,NASDAQ,10.8
GCBC,2013-07-12,Greene County Bancorp Inc,NASDAQ,10.7
GCBC,2013-07-15,Greene County Bancorp Inc,NASDAQ,10.73
GCBC,2013-07-16,Greene County Bancorp Inc,NASDAQ,10.54
GCBC,2013-07-17,Greene County Bancorp Inc,NASDAQ,10.51
GCBC,2013-07-23,Greene County Bancorp Inc,NASDAQ,10.82
GCBC,2013-07-25,Greene County Bancorp Inc,NASDAQ,11
GCBC,2013-07-29,Greene County Bancorp Inc,NASDAQ,11.9
GCBC,2013-07-30,Greene County Bancorp Inc,NASDAQ,11.5
GCBC,2013-07-31,Greene County Bancorp Inc,NASDAQ,10.82
GCBC,2013-08-01,Greene County Bancorp Inc,NASDAQ,11.11
GCBC,2013-08-08,Greene County Bancorp Inc,NASDAQ,11.5
GCBC,2013-08-09,Greene County Bancorp Inc,NASDAQ,10.63
GCBC,2013-08-12,Greene County Bancorp Inc,NASDAQ,11.45
GCBC,2013-08-13,Greene County Bancorp Inc,NASDAQ,11.16
GCBC,2013-08-19,Greene County Bancorp Inc,NASDAQ,11.31
